usuario,estrelas,sentimento,comentario,comentario_limpo,cronologia,data_avaliacao,ano,periodo
Marcus Vinicius Campos,5,positivo,Sem comentário,comentário,2 semanas atrás,2025-10-14 17:06:31.941942,2025,pós-pandemia
Ademi Alves,5,positivo,Sem comentário,comentário,2 semanas atrás,2025-10-14 17:06:31.941985,2025,pós-pandemia
Joao Natalino De Sousa Filho,5,positivo,Sem comentário,comentário,4 semanas atrás,2025-09-30 17:06:31.941996,2025,pós-pandemia
Belle,5,positivo,Sem comentário,comentário,2 meses atrás,2025-08-29 17:06:31.942032,2025,pós-pandemia
adriana (drica),5,positivo,"Acervo incrível, tem de tudo um pouco, é uma biblioteca de fato, armazena todo tipo de informação. O pessoal que trabalha lá é muito simpático, ir lá é muito bom.",acervo incrível tudo pouco biblioteca fato armazena todo tipo informação pessoal trabalha lá simpático ir lá bom,2 meses atrás,2025-08-29 17:06:31.942040,2025,pós-pandemia
Natalia Lopes,5,positivo,Sem comentário,comentário,2 meses atrás,2025-08-29 17:06:31.942048,2025,pós-pandemia
Douglas Lourenco,5,positivo,Sem comentário,comentário,2 meses atrás,2025-08-29 17:06:31.942054,2025,pós-pandemia
احمد ياسين,5,positivo,Sem comentário,comentário,2 meses atrás,2025-08-29 17:06:31.942060,2025,pós-pandemia
edmilson oliveira,5,positivo,Sem comentário,comentário,3 meses atrás,2025-07-30 17:06:31.942066,2025,pós-pandemia
Silene Guedes,5,positivo,"Excelente ponto de leitura, tinha brincadeiras com as crianças.  Leituras e espaços super aconchegantes. Super recomendo.",excelente ponto leitura brincadeiras crianças leituras espaços super aconchegantes super recomendo,3 meses atrás,2025-07-30 17:06:31.942073,2025,pós-pandemia
Magno Soares (Soaresmagno),5,positivo,ótimo espaço,ótimo espaço,3 meses atrás,2025-07-30 17:06:31.942079,2025,pós-pandemia
Ariane Melo,5,positivo,"É um presente para a zona norte, aliás que cada região e bairro possam ter uma biblioteca com os recursos que a BSP tem, incluindo a variedade de livros, o conforto, brinquedoteca e área livre de lazer, além dos eventos e oficinas. Eu amo a BSP e amei conhecer também a BibliOn, a versão digital.",presente zona norte aliás cada região bairro possam ter biblioteca recursos bsp incluindo variedade livros conforto brinquedoteca área livre lazer além eventos oficinas amo bsp amei conhecer biblion versão digital,3 meses atrás,2025-07-30 17:06:31.942085,2025,pós-pandemia
Ivanildo Dos Santos Silva,5,positivo,Sem comentário,comentário,4 meses atrás,2025-06-30 17:06:31.942091,2025,pós-pandemia
Katia Cardoso,5,positivo,Perfeito em tudo,perfeito tudo,5 meses atrás,2025-05-31 17:06:31.942097,2025,pós-pandemia
Rhina Midori Maegawa,5,positivo,Sem comentário,comentário,5 meses atrás,2025-05-31 17:06:31.942103,2025,pós-pandemia
Simone Zamariola,5,positivo,A biblioteca São Paulo é um excelente lugar para quem quer ler livrosUm ambiente limpo e tranquiloÓtimo também para levar a criançada para ouvir histórias infantis,biblioteca paulo excelente lugar quer ler livrosum ambiente limpo tranquiloótimo levar criançada ouvir histórias infantis,5 meses atrás,2025-05-31 17:06:31.942109,2025,pós-pandemia
sonia da silva roza,5,positivo,"Gosto muito desta biblioteca, os funcionários são atenciosos c todos, crianças e moradores de rua são bem-vindos, fico feliz com essas atitudes...Só gostaria que tivesse mais um portão ( do parque, Carandiru ) para entrarmos, ia ajudar nossa entrada.Obrigada.",gosto desta biblioteca funcionários atenciosos c todos crianças moradores rua bemvindos fico feliz atitudessó gostaria portão parque carandiru entrarmos ia ajudar entradaobrigada,6 meses atrás,2025-05-01 17:06:31.942114,2025,pós-pandemia
Erinalda JS,1,negativo,"Eu adoro essa biblioteca, o espaço é um charme. Porém, a grande quantidade de moradores de rua que fazem do local um albergue prejudica muito a experiência. Eles fazem arruaça, fedem, dormem no local e traz uma sensação de insegurança ao local. Não é possível focar na leitura ou estudos neste ambiente. Uma pena porque o espaço é super charmoso e tem um bom acervo de livros.",adoro biblioteca espaço charme porém grande quantidade moradores rua fazem local albergue prejudica experiência fazem arruaça fedem dormem local traz sensação insegurança local possível focar leitura estudos neste ambiente pena porque espaço super charmoso bom acervo livros,6 meses atrás,2025-05-01 17:06:31.942120,2025,pós-pandemia
Vera Lúcia Meireles,5,positivo,Sem comentário,comentário,7 meses atrás,2025-04-01 17:06:31.942126,2025,pós-pandemia
Bruna Graciotti,5,positivo,Sem comentário,comentário,7 meses atrás,2025-04-01 17:06:31.942132,2025,pós-pandemia
Lucas Ribeiro,1,negativo,"Exigem que qualquer tipo de bolsa seja guardada, mas não possuem capacidade de entregar as senhas para os armários numa velocidade razoável, demora sem fim para conseguir entrar na biblioteca de fato. Não recomendo.",exigem qualquer tipo bolsa guardada possuem capacidade entregar senhas armários velocidade razoável demora fim conseguir entrar biblioteca fato recomendo,7 meses atrás,2025-04-01 17:06:31.942138,2025,pós-pandemia
Patricia Silva,5,positivo,Sem comentário,comentário,7 meses atrás,2025-04-01 17:06:31.942143,2025,pós-pandemia
Rosana Nazario,5,positivo,Lugar maravilhoso 🤩🤩🤩💯,lugar maravilhoso 🤩🤩🤩💯,7 meses atrás,2025-04-01 17:06:31.942149,2025,pós-pandemia
Wagner Mattos,5,positivo,Lugar fantástico!,lugar fantástico,8 meses atrás,2025-03-02 17:06:31.942155,2025,pós-pandemia
Isabella Ananda,1,negativo,"Descaso completo. Voltei à biblioteca após alguns anos e ela está bem diferente. A maioria das pessoas na biblioteca eram moradores de rua e outras pessoas suspeitas, ambos claramente não estavam ali pelos livros, fazendo da biblioteca seu albergue. Mais de uma vez vi algumas dessas pessoas sendo retiradas por seguranças. Paira um clima de insegurança e até um fedor. Muito triste pois a infraestrutura e o acervo são ótimos.",descaso completo voltei biblioteca após alguns anos bem diferente maioria pessoas biblioteca moradores rua outras pessoas suspeitas ambos claramente ali livros fazendo biblioteca albergue vez vi algumas dessas pessoas sendo retiradas seguranças paira clima insegurança fedor triste pois infraestrutura acervo ótimos,8 meses atrás,2025-03-02 17:06:31.942162,2025,pós-pandemia
Théo Littig,5,positivo,"Ótimo lugar para trabalhar, ler, estudar. O ambiente possui Internet com acesso gratuito. Quanto ao silêncio do local, vai depender da educação das pessoas, pois os funcionários até tentam controlar essa questão.",ótimo lugar trabalhar ler estudar ambiente possui internet acesso gratuito quanto silêncio local vai depender educação pessoas pois funcionários tentam controlar questão,8 meses atrás,2025-03-02 17:06:31.942168,2025,pós-pandemia
Matheus Marques,5,positivo,"Excelente biblioteca! Acervo grande, com muitas mesas e poltronas disponíveis para estudar em um ambiente limpo e organizado. Quando fui, havia um pouco de barulho das crianças, mas nada que incomode se estiver de fone de ouvido.",excelente biblioteca acervo grande muitas mesas poltronas disponíveis estudar ambiente limpo organizado havia pouco barulho crianças nada incomode fone ouvido,9 meses atrás,2025-01-31 17:06:31.942173,2025,pós-pandemia
Fagner José de Morais,5,positivo,"Biblioteca maravilhosa, acervo magnífico e funcionários super atenciosos.",biblioteca maravilhosa acervo magnífico funcionários super atenciosos,10 meses atrás,2025-01-01 17:06:31.942180,2025,pós-pandemia
Anderson LS,5,positivo,Sem comentário,comentário,10 meses atrás,2025-01-01 17:06:31.942188,2025,pós-pandemia
Patricia Gomes,5,positivo,Sem comentário,comentário,11 meses atrás,2024-12-02 17:06:31.942194,2024,pós-pandemia
Pietra Gabriele,5,positivo,Sem comentário,comentário,11 meses atrás,2024-12-02 17:06:31.942200,2024,pós-pandemia
Carla Amélia Ribeiro Coelho,5,positivo,"Foi a biblioteca onde dediquei meus dias de estudo pré-vestibular e, no final, deu certo!! muito amor por esse espaço! adorava pegar os livros emprestados, todos em bom estado de conservação!",biblioteca onde dediquei dias estudo prévestibular final deu certo amor espaço adorava pegar livros emprestados todos bom estado conservação,11 meses atrás,2024-12-02 17:06:31.942206,2024,pós-pandemia
Marilia Antunes,5,positivo,Sem comentário,comentário,11 meses atrás,2024-12-02 17:06:31.942212,2024,pós-pandemia
ROCK,4,positivo,"A biblioteca é bem legal na maior parte. Entretanto, o que deveria mudar é a questão do silêncio e da ""bagunça"". Muita gente não respeita o ambiente e fica parecendo mais um pub do que uma biblioteca. O problema é que os funcionários do local, na maioria das vezes não falam nada e acaba ficando meio ruim pra quem precisa de um ambiente com silêncio, para se concentrar na leitura e/ou estudos.",biblioteca bem legal maior parte entretanto deveria mudar questão silêncio bagunça muita gente respeita ambiente fica parecendo pub biblioteca problema funcionários local maioria vezes falam nada acaba ficando meio ruim pra precisa ambiente silêncio concentrar leitura eou estudos,um ano atrás,2024-10-28 17:06:31.942218,2024,pós-pandemia
Sílvio Saraiva,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942226,2024,pós-pandemia
Natália Macedo,1,negativo,"Não consegui achar a entrada. Deveria ser mais sinalizado. Tinha muito morador de rua dormindo nas laterais. Fiquei com medo. Um cara mal encarado começou a falar que a entrada era lá no fundo, não sei se era vdd ou mentira, mas como estava sozinha decidi ir embora.",consegui achar entrada deveria sinalizado morador rua dormindo laterais fiquei medo cara mal encarado começou falar entrada lá fundo sei vdd mentira sozinha decidi ir embora,um ano atrás,2024-10-28 17:06:31.942234,2024,pós-pandemia
lays patrocinio,5,positivo,"Amo estudar lá, a parte de baixo é mais agitada por focar mais nas crianças e adolescentes, ja a parte de cima e mais para adultos, ela é mais calma",amo estudar lá parte baixo agitada focar crianças adolescentes ja parte cima adultos calma,um ano atrás,2024-10-28 17:06:31.942241,2024,pós-pandemia
Lucélia Gonçalves,5,positivo,Ambiente acolhedor,ambiente acolhedor,Editado um ano atrás,2024-10-28 17:06:31.942248,2024,pós-pandemia
Fernanda Oliveira,5,positivo,Local organizado.Materiais acessíveis.Bom atendimento.,local organizadomateriais acessíveisbom atendimento,um ano atrás,2024-10-28 17:06:31.942257,2024,pós-pandemia
Andrezza Aline,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942264,2024,pós-pandemia
Antonio Alves,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942271,2024,pós-pandemia
Marcio Luiz Quedinho,5,positivo,Muito bom! O atendimento foi super gentil e atencioso! As instalações são muito bem cuidadas e possui um acervo enorme para todos os gostos!!!!,bom atendimento super gentil atencioso instalações bem cuidadas possui acervo enorme todos gostos,um ano atrás,2024-10-28 17:06:31.942278,2024,pós-pandemia
Marcelo Pacheco,3,neutro,"Frequento todo domingo está biblioteca. Não tinha nenhuma queixa deste lugar, até ontem, quando levei vários livros didáticos lacrados que nunca foram usados para doação. Quando fui informado que haveria necessidade de ter enviado um e-mail antes para tal ocorrência... Informei à funcionária da recepção que eu havia achado os livros na rua próximo à biblioteca e que não teria como eu ter enviado um e-mail com antecedência. Quando fui informado,  que por se tratar de livros didáticos, aí sim, não haveria chance alguma de receber as doações. Conclusão: Fiquei extremamente decepcionado com a "" burrocracia "" desta instituição que deveria primar pela EDUCAÇÃO, e que por motivos estritamente administrativos deixou de oferecer livros aos seus usuários de excelente qualidade, tanto por estarem lacrados como pelo seu conteúdo...Final da estória: Fui obrigado a retirar os livros da biblioteca e deixá-los num banco externo do parque da juventude. Uma pena, pois seria de muita utilidade para muitos estudantes que estão estudando para provas do ENEM já que o  conteúdo era de matérias do ensino médio. As regras existem para serem seguidas, mas o BOM SENSO, deve ser usado sempre que se fizer necessário...Lamentável a atitude desta instituição que se diz ser Educacional...",frequento todo domingo biblioteca nenhuma queixa deste lugar ontem levei vários livros didáticos lacrados nunca usados doação informado haveria necessidade ter enviado email antes tal ocorrência informei funcionária recepção havia achado livros rua próximo biblioteca ter enviado email antecedência informado tratar livros didáticos aí sim haveria chance alguma receber doações conclusão fiquei extremamente decepcionado burrocracia desta instituição deveria primar educação motivos estritamente administrativos deixou oferecer livros usuários excelente qualidade tanto estarem lacrados conteúdofinal estória obrigado retirar livros biblioteca deixálos banco externo parque juventude pena pois muita utilidade muitos estudantes estudando provas enem conteúdo matérias ensino médio regras existem serem seguidas bom senso deve usado sempre fizer necessáriolamentável atitude desta instituição diz educacional,um ano atrás,2024-10-28 17:06:31.942285,2024,pós-pandemia
Ana Moraes,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942292,2024,pós-pandemia
Vanderleia Maria de Barros,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942299,2024,pós-pandemia
Isabella Estevão Pereira Cambuy,1,negativo,"Local extremamente perigoso, cheio de mendigos dentro e fora. Próprio funcionário da biblioteca aconselhou não ficar com celular. Motorista do uber informou que ocorrem muitos assaltos nessa região. Uma pena! Biblioteca e parque lindo!",local extremamente perigoso cheio mendigos dentro próprio funcionário biblioteca aconselhou ficar celular motorista uber informou ocorrem muitos assaltos nessa região pena biblioteca parque lindo,um ano atrás,2024-10-28 17:06:31.942306,2024,pós-pandemia
Edson Dos Santos Filho,5,positivo,Espaço bom pra ler e estudar além dos vários livros que podemos utilizar,espaço bom pra ler estudar além vários livros podemos utilizar,um ano atrás,2024-10-28 17:06:31.942312,2024,pós-pandemia
Gleice Ribeiro,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942319,2024,pós-pandemia
Letícia Novais,5,positivo,"Fui conhecer essa biblioteca hj ( quarta-feira ) já que fica dentro do Parque da Juventude e do lado da estação de metrô Carandiru. Você tem a opção de deixar seus pertences no guarda-volumes, se não pode levá-los com você. Pode entrar com garrafa de água, tirar fotos. Eu achei ela bem grande, com acervo de livros ( temas bem variados ) , limpa, aconchegante, com Wi-Fi, acesso à internet. Tinha muitas pessoas utilizando o espaço da área adulta, é muito tranquilo pra leitura, estudo, pesquisas ou simplesmente descansar. Tem totens de álcool em gel, banheiros FEM/MASC/UNISSEX ( com papel, sabonete líquido ), bebedouro ( um deles está em manutenção e o outro tem um dos “jatinhos” que não funciona ).  Tem acessibilidade para PCD com painel em libras ( principalmente na divisão das estantes ) mais não vi rampa de acesso nem elevadores. Dá pra fazer uma  carteirinha lá caso você queira pegar algum livro emprestado, vale a visita, valorizem!",conhecer biblioteca hj quartafeira fica dentro parque juventude lado estação metrô carandiru opção deixar pertences guardavolumes pode leválos pode entrar garrafa água tirar fotos achei bem grande acervo livros temas bem variados limpa aconchegante wifi acesso internet muitas pessoas utilizando espaço área adulta tranquilo pra leitura estudo pesquisas simplesmente descansar totens álcool gel banheiros femmascunissex papel sabonete líquido bebedouro manutenção outro “jatinhos” funciona acessibilidade pcd painel libras principalmente divisão estantes vi rampa acesso elevadores dá pra fazer carteirinha lá caso queira pegar algum livro emprestado vale visita valorizem,um ano atrás,2024-10-28 17:06:31.942326,2024,pós-pandemia
Maria Eduarda Castro,1,negativo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942333,2024,pós-pandemia
Rosa,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942339,2024,pós-pandemia
Jorge Luiz Corrêa,4,positivo,"Excelente espaço, todos os livros que minha filha pede a biblioteca providência, queria dar 5 estrelas mas não abre as segundas feiras...",excelente espaço todos livros filha pede biblioteca providência queria dar 5 estrelas abre segundas feiras,um ano atrás,2024-10-28 17:06:31.942346,2024,pós-pandemia
Ceres Ferraz,5,positivo,Lugar maravilhoso,lugar maravilhoso,um ano atrás,2024-10-28 17:06:31.942353,2024,pós-pandemia
Léa por aí,4,positivo,Biblioteca de São Paulo,biblioteca paulo,um ano atrás,2024-10-28 17:06:31.942360,2024,pós-pandemia
André Felipe,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942367,2024,pós-pandemia
Anadir Mesquita (Maluu),5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942374,2024,pós-pandemia
Marcos Alves,1,negativo,"O prédio é top, funcionários bem educados, espaço kids, área externa para atividades culturais, atividade recreativas e contação de história. Tinha tudo para ser bom. Contudo, infelizmente está tomada de moradores de rua que usam a estrutura da biblioteca como casa.Banheiro, poltronas, pufs e outros espaços estão ocupados  por pessoas em situação de rua, transformando a biblioteca em uma espécie de espaço de acolhimento. Fui com as crianças e fica difícil deixá-las a vontade em um lugar assim.Mais uma coisa que a desigualdade estragou.",prédio top funcionários bem educados espaço kids área externa atividades culturais atividade recreativas contação história tudo bom contudo infelizmente tomada moradores rua usam estrutura biblioteca casabanheiro poltronas pufs outros espaços ocupados pessoas situação rua transformando biblioteca espécie espaço acolhimento crianças fica difícil deixálas vontade lugar assimmais coisa desigualdade estragou,um ano atrás,2024-10-28 17:06:31.942380,2024,pós-pandemia
Fujiko Minami,4,positivo,Fiquei maravilhada com a Biblioteca de São Paulo.,fiquei maravilhada biblioteca paulo,um ano atrás,2024-10-28 17:06:31.942387,2024,pós-pandemia
Misael Almeida,1,negativo,A definição de Biblioteca não se encaixa pra esse lugar. Horrível!!,definição biblioteca encaixa pra lugar horrível,um ano atrás,2024-10-28 17:06:31.942394,2024,pós-pandemia
Michele P. Pereira,3,neutro,"A biblioteca é linda! muito espaco,organizado, nao é muito cheia nem vazio demais varios livros mesas cadeiras pufs muito arrumado.Estacionamento: ermo tinha moradores de rua dentro. Fiquei com.medoNo patio e parquinho:Varios moradores de rua dormindo embaixo das marquises perto da biblioteca e parquinho maltratado com grama alta e um.pessoal esquisito por la.Nao.me senti segura, nao me deu vontade de voltar nao.",biblioteca linda espacoorganizado nao cheia vazio demais varios livros mesas cadeiras pufs arrumadoestacionamento ermo moradores rua dentro fiquei commedono patio parquinhovarios moradores rua dormindo embaixo marquises perto biblioteca parquinho maltratado grama alta umpessoal esquisito lanaome senti segura nao deu vontade voltar nao,um ano atrás,2024-10-28 17:06:31.942401,2024,pós-pandemia
Getúlio Sousa Nascimento,3,neutro,"É uma bela biblioteca. É uma pena que, apesar de cercada por um baita espaço, não tenha um estacionamento e nem recuo de embarque e desembarque .",bela biblioteca pena apesar cercada baita espaço estacionamento recuo embarque desembarque,um ano atrás,2024-10-28 17:06:31.942408,2024,pós-pandemia
Diógenes Capela,5,positivo,"Ótimo acervo, livros de diversos assuntos e gostos. Aos finais de semana tem algumas oficinas voltadas a literatura.",ótimo acervo livros diversos assuntos gostos finais semana algumas oficinas voltadas literatura,um ano atrás,2024-10-28 17:06:31.942415,2024,pós-pandemia
Michael Wilber Quinto Mancilla,5,positivo,Atenção muito boa e local bem planejado.,atenção boa local bem planejado,Editado um ano atrás,2024-10-28 17:06:31.942422,2024,pós-pandemia
Camila Pinheiro,4,positivo,"A biblioteca é legal, fica no parque que é bonito, mas dentro da biblioteca ficam muitos homens que estão em situação de rua.",biblioteca legal fica parque bonito dentro biblioteca ficam muitos homens situação rua,um ano atrás,2024-10-28 17:06:31.942430,2024,pós-pandemia
Rebekah Yannis,1,negativo,"A biblioteca já foi um lugar maravilhoso quando era uma biblioteca de verdade. Hoje em dia é tudo, menos uma biblioteca. Não tem mais controle de quem entra e de quem sai, não tem mais silêncio, cheio de pessoas falando alto e crianças correndo fazendo barulho. O local tornou-se deprimente e desagradável. Uma pena.",biblioteca lugar maravilhoso biblioteca verdade hoje dia tudo menos biblioteca controle entra sai silêncio cheio pessoas falando alto crianças correndo fazendo barulho local tornouse deprimente desagradável pena,um ano atrás,2024-10-28 17:06:31.942437,2024,pós-pandemia
Wilson Soares (Paparazzo),5,positivo,"Uma excelente biblioteca pública em São Paulo.Atendimento com funcionários educados.Ambiente conta com muitos seguranças e monitoramento de câmeras.Internet bem rápida, dá para baixar arquivos, fotos e vídeos e sistema Wi-fiSalas de leituras, computadores para entrar em redes sociais e jogos, brinquedos educativos para as crianças.Salão exterior é bom lugar para praticar atividades esportivas e jogos.E um enorme acervo de livros, revistas, dvds, e outras fontes de informações.",excelente biblioteca pública pauloatendimento funcionários educadosambiente conta muitos seguranças monitoramento câmerasinternet bem rápida dá baixar arquivos fotos vídeos sistema wifisalas leituras computadores entrar redes sociais jogos brinquedos educativos criançassalão exterior bom lugar praticar atividades esportivas jogose enorme acervo livros revistas dvds outras fontes informações,um ano atrás,2024-10-28 17:06:31.942444,2024,pós-pandemia
valdir cordeiro,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942451,2024,pós-pandemia
Clayton Souza,4,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942461,2024,pós-pandemia
Acroz,4,positivo,"Curti o local, só não dou 5 estrelas pois não passei muito tempo lá. Uma pena não ter muito silêncio de dia para trabalhar e um espaço maior na área de coworking/espaço pra trabalhar. Banheiro bem limpo e organizado.",curti local dou 5 estrelas pois passei tempo lá pena ter silêncio dia trabalhar espaço maior área coworkingespaço pra trabalhar banheiro bem limpo organizado,um ano atrás,2024-10-28 17:06:31.942469,2024,pós-pandemia
BL Suplementos,5,positivo,Agradável,agradável,um ano atrás,2024-10-28 17:06:31.942477,2024,pós-pandemia
Bryce F.,5,positivo,94Mbps/26Mbps Download/Upload speeds. Great air conditioning. Wonderfully clean and welcoming space.,94mbps26mbps downloadupload speeds great air conditioning wonderfully clean and welcoming space,um ano atrás,2024-10-28 17:06:31.942483,2024,pós-pandemia
Matheus Dias,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942490,2024,pós-pandemia
Moatan Pinhal,5,positivo,"É isso que espero quando penso em uma biblioteca pública, ACESSO a todos! Crianças, pessoas em situação de rua, adolescentes, adultos e idosos, enfim! Se quer um ambiente menos inclusivo e diverso, recomendo livrarias aonde se paga para ler e cria um ambiente mais elitista.Acha que tem muito barulho? O segundo anda r além de ser mais silencioso tem varandas fechadas, ou vc pode pegar um livro emprestado e curti lo em sua casa.Acesso a livros, jornais, revistas, computadores e até vídeo game, isso é inclusão e inclusão digital!!",espero penso biblioteca pública acesso todos crianças pessoas situação rua adolescentes adultos idosos enfim quer ambiente menos inclusivo diverso recomendo livrarias aonde paga ler cria ambiente elitistaacha barulho segundo anda r além silencioso varandas fechadas vc pode pegar livro emprestado curti lo casaacesso livros jornais revistas computadores vídeo game inclusão inclusão digital,um ano atrás,2024-10-28 17:06:31.942497,2024,pós-pandemia
Equipe Anderson Marinho,1,negativo,"Está biblioteca já foi boa. Os funcionários são educados, gentis, o espaço é lindo. Eu adorava ir estudar nela na época da faculdade. No entanto, atualmente está cheia de moradores de rua dormindo nos bancos que eram pra ser utilizados para leitura, um monte de garotos falando alto com palavrões na área dos computadores. Levei minhas filhas recentemente e não ficamos nem 20 min. Infelizmente não é mais um ambiente para se estudar ou levar a família. Virou uma Lan house para pessoas barulhentas verem vídeos de dancinha e dormirem sob o ar condicionado.",biblioteca boa funcionários educados gentis espaço lindo adorava ir estudar nela época faculdade entanto atualmente cheia moradores rua dormindo bancos pra utilizados leitura monte garotos falando alto palavrões área computadores levei filhas recentemente ficamos 20 min infelizmente ambiente estudar levar família virou lan house pessoas barulhentas verem vídeos dancinha dormirem sob ar condicionado,um ano atrás,2024-10-28 17:06:31.942504,2024,pós-pandemia
Ichigo,5,positivo,"Que lugar ESPETACULAR!!! Meio que se tornou meu lugar favorito no mundo! Os funcionários são muito gentis, tudo muito organizado e limpo!Fui cedo em um sábado, tinha logo uma fila enorme na entrada, que logo fiquei sabendo que são pra quem quer usar o computador gamer, os mais concorridos. O pessoal chega cedo e até distribuem senha.Fiquei o dia inteiro, foi uma experiência incrível, não estava tão cheio, nem tão vazio, estava maravilhoso.Não é local totalmente silencioso, é claro! Mas do mesmo jeitinho, é incrível.Tem vários lugares para ler! Muitas cadeiras e puffs para sentar. O acervo de livros é incrível, tanto o segundo andar (adulto) quanto o primeiro andar (juvenil).Li muito lá em diversos lugares, e após fazer minha carteirinha peguei três livros emprestados que devo devolver em 15 dias.Estou muito ansioso pra voltar lá!!!",lugar espetacular meio tornou lugar favorito mundo funcionários gentis tudo organizado limpofui cedo sábado logo fila enorme entrada logo fiquei sabendo pra quer usar computador gamer concorridos pessoal chega cedo distribuem senhafiquei dia inteiro experiência incrível tão cheio tão vazio maravilhosonão local totalmente silencioso claro jeitinho incríveltem vários lugares ler muitas cadeiras puffs sentar acervo livros incrível tanto segundo andar adulto quanto primeiro andar juvenilli lá diversos lugares após fazer carteirinha peguei três livros emprestados devo devolver 15 diasestou ansioso pra voltar lá,um ano atrás,2024-10-28 17:06:31.942511,2024,pós-pandemia
Danielle Borsari,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942518,2024,pós-pandemia
Pedreck Dranzer,5,positivo,"Estudava aí. Navegava na internet, fazia trabalhos de escola, perdia tempo, via emprego, editava meu currículo, conversava, lia livros, revistas e jornais.",estudava aí navegava internet fazia trabalhos escola perdia tempo via emprego editava currículo conversava lia livros revistas jornais,Editado um ano atrás,2024-10-28 17:06:31.942524,2024,pós-pandemia
Talita Alessandra,5,positivo,"Biblioteca pública maravilhosa, com um acervo incrível! Muitos livros que dialogam com o contexto histórico do local em que a biblioteca está inserida, sobre prisões, que vem a ser o meu tema de pesquisas. Sempre encontro obras excelentes e raras nessa biblioteca! Faz tempo que não compareço, mas, destaco nas fotos algo que me encantou na última visita: uma estante com vários livros infantis em árabe, em respeito às crianças em situação de refúgio que frequentam a biblio. Lindeza!",biblioteca pública maravilhosa acervo incrível muitos livros dialogam contexto histórico local biblioteca inserida sobre prisões vem tema pesquisas sempre encontro obras excelentes raras nessa biblioteca faz tempo compareço destaco fotos algo encantou última visita estante vários livros infantis árabe respeito crianças situação refúgio frequentam biblio lindeza,um ano atrás,2024-10-28 17:06:31.942532,2024,pós-pandemia
Emanuel Campos,5,positivo,A biblioteca é incrível e é uma pena saber o que o circo pode ser fechado a qualquer minuto.,biblioteca incrível pena saber circo pode fechado qualquer minuto,Editado um ano atrás,2024-10-28 17:06:31.942539,2024,pós-pandemia
Amanda Borges,3,neutro,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942547,2024,pós-pandemia
Helton Sampaio Basseto,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942554,2024,pós-pandemia
Lais Oliveira Munhoz,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942564,2024,pós-pandemia
antonio veiga,5,positivo,"Não conhecia. Um exemplo de política pública voltada para educação e leitura. Espaços amplos, dignos e limpos para atendimento ao público em geral. Exemplo a ser seguido por muitos outros órgãos do governo.",conhecia exemplo política pública voltada educação leitura espaços amplos dignos limpos atendimento público geral exemplo seguido muitos outros órgãos governo,um ano atrás,2024-10-28 17:06:31.942572,2024,pós-pandemia
Marineide Ribeiro,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942579,2024,pós-pandemia
Rodrigo Gomes Takara Gutierres,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942585,2024,pós-pandemia
Vinicius Brito Costa,5,positivo,"Muito bom, bem organizado e com grande seleção de livros",bom bem organizado grande seleção livros,um ano atrás,2024-10-28 17:06:31.942592,2024,pós-pandemia
joão batista caetano,5,positivo,Muito bom,bom,um ano atrás,2024-10-28 17:06:31.942599,2024,pós-pandemia
Edson Souza Oliveira,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942606,2024,pós-pandemia
Marcos Ribeiro,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942613,2024,pós-pandemia
Claire Mello,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942621,2024,pós-pandemia
joana darck,5,positivo,Sem comentário,comentário,um ano atrás,2024-10-28 17:06:31.942628,2024,pós-pandemia
Orival Junior,4,positivo,Boa muito massa a biblioteca,boa massa biblioteca,um ano atrás,2024-10-28 17:06:31.942635,2024,pós-pandemia
Tonn Carmo,5,positivo,"Lugar agradável e bem organizado. Tem segurança, tranquilidade e acesso a computadores locais.",lugar agradável bem organizado segurança tranquilidade acesso computadores locais,um ano atrás,2024-10-28 17:06:31.942642,2024,pós-pandemia
