usuario,estrelas,sentimento,comentario,comentario_limpo,cronologia,data_avaliacao,ano,periodo
alvaro avelar,5,positivo,Vale a pena a visita. O ambiente rivaliza com livrarias particulares de SP.  Rico em cultura,vale pena visita ambiente rivaliza livrarias particulares sp rico cultura,8 anos atrás,2017-10-30 17:06:31.947439,2017,pré-pandemia
Alexandre Fontana,5,positivo,"A biblioteca é muito bem localizada. Você chega fácil tanto de carro como de ônibus, pois várias linhas passam na porta e Metrô, pois a estação Carandiru esta ali ao ladoO prédio é muito bonito, o ambiente é agradável, o acervo é completo e o atendimento e muito bom. Também tem wi fi, jornais só dia e da véspera e revistas e sempre tem um evento, uma programação. Da para passar o dia aqui.",biblioteca bem localizada chega fácil tanto carro ônibus pois várias linhas passam porta metrô pois estação carandiru ali ladoo prédio bonito ambiente agradável acervo completo atendimento bom wi fi jornais dia véspera revistas sempre evento programação passar dia aqui,Editado 8 anos atrás,2017-10-30 17:06:31.947445,2017,pré-pandemia
Túlio Pedrosa,5,positivo,Uma das melhores bibliotecas públicas de São Paulo e com bom atendimento.,melhores bibliotecas públicas paulo bom atendimento,8 anos atrás,2017-10-30 17:06:31.947453,2017,pré-pandemia
Horacio Castro,4,positivo,Muito legal!,legal,8 anos atrás,2017-10-30 17:06:31.947459,2017,pré-pandemia
Daniel Junior,4,positivo,"Clean, organized",clean organized,8 anos atrás,2017-10-30 17:06:31.947466,2017,pré-pandemia
Rute Emanuela,5,positivo,Sem comentário,comentário,8 anos atrás,2017-10-30 17:06:31.947473,2017,pré-pandemia
Felipe Rodrigues,2,negativo,"Horrível! Pequena, lotada e barulhenta. Devia se chamar espaço recreativo São Paulo, não biblioteca São Paulo, assim eu não teria vindo aqui por engano.",horrível pequena lotada barulhenta devia chamar espaço recreativo paulo biblioteca paulo assim vindo aqui engano,8 anos atrás,2017-10-30 17:06:31.947479,2017,pré-pandemia
Éder Cândido,5,positivo,"Espaço sofisticado, ótima organização, opções diferentes para leitura e estudo, bom para leitura como lazer, disponibilidade de acesso ao Wi-Fi gratuito, uso de computadores para consulta e pesquisa.",espaço sofisticado ótima organização opções diferentes leitura estudo bom leitura lazer disponibilidade acesso wifi gratuito uso computadores consulta pesquisa,8 anos atrás,2017-10-30 17:06:31.947486,2017,pré-pandemia
Stefania Barros,5,positivo,Sem comentário,comentário,8 anos atrás,2017-10-30 17:06:31.947492,2017,pré-pandemia
Cristine Granato,5,positivo,"Muito bonita. Boa infraestrutura, ótimo acervo. Além de ser ao lado do metrô e do parque.",bonita boa infraestrutura ótimo acervo além lado metrô parque,8 anos atrás,2017-10-30 17:06:31.947499,2017,pré-pandemia
digao santos,4,positivo,Bom lugar de leitur,bom lugar leitur,8 anos atrás,2017-10-30 17:06:31.947505,2017,pré-pandemia
Vinicius dos Santos Alves,5,positivo,É um ambiente muito bom!!! Além de ótimos livros. O Sarau também é muito bom.,ambiente bom além ótimos livros sarau bom,8 anos atrás,2017-10-30 17:06:31.947512,2017,pré-pandemia
Bárbara Gabriel Monteiro De Jesus,5,positivo,Um lugar incrível para amantes de livros,lugar incrível amantes livros,8 anos atrás,2017-10-30 17:06:31.947519,2017,pré-pandemia
André Pinto,4,positivo,"Adoro essa biblioteca. Muito ampla e arejada. Havia shows aos domingos, agora  não mais. A cafeteira deveria funcionar.",adoro biblioteca ampla arejada havia shows domingos agora cafeteira deveria funcionar,8 anos atrás,2017-10-30 17:06:31.947525,2017,pré-pandemia
Josuel Alves,5,positivo,"Umas das melhores bibliotecas que já visite, o mais legal, além do enorme acervo, é que mesmo que você não encontre o livro que queira, a biblioteca recebe sugestões de novos livros para serem adiquiridos/comprados pela biblioteca, e esta é a única biblioteca que conheço que realmente recebem estas sugestões e te dão um feedback sobre a sua sugestão (seja ele positivo ou não), eu mesmo já sugeri diversos títulos (muitos deles lançamentos) e fui avisado que a sugestão foi aceita, e posteriomente me avisaram que o novo título estava disponível no acervo para empréstimo, achei o atendimento excepsional. Recomendo à todos.",umas melhores bibliotecas visite legal além enorme acervo encontre livro queira biblioteca recebe sugestões novos livros serem adiquiridoscomprados biblioteca única biblioteca conheço realmente recebem sugestões dão feedback sobre sugestão positivo sugeri diversos títulos muitos lançamentos avisado sugestão aceita posteriomente avisaram novo título disponível acervo empréstimo achei atendimento excepsional recomendo todos,Editado 8 anos atrás,2017-10-30 17:06:31.947532,2017,pré-pandemia
David Almeida,4,positivo,"Muito bom o local, o acervo da biblioteca é bem diferenciado e os funcionários são bem atenciosos.",bom local acervo biblioteca bem diferenciado funcionários bem atenciosos,8 anos atrás,2017-10-30 17:06:31.947539,2017,pré-pandemia
Gustavo Paiva,4,positivo,Preciso visitá-la.,preciso visitála,8 anos atrás,2017-10-30 17:06:31.947546,2017,pré-pandemia
Antonio Ruggiero Arcangelo,5,positivo,"Ótimo acervo, ótimo atendimento e o local é super agradável",ótimo acervo ótimo atendimento local super agradável,8 anos atrás,2017-10-30 17:06:31.947552,2017,pré-pandemia
Márcio Silva,5,positivo,"É uma biblioteca completamente diferente do que estamos acostumados. Localizada ao ladinho do Parque da Juventude, tem tendas de contação de histórias, café, um ambiente diferente e agradável, daqueles que dá vontade de não sair nunca mais.",biblioteca completamente diferente acostumados localizada ladinho parque juventude tendas contação histórias café ambiente diferente agradável daqueles dá vontade sair nunca,8 anos atrás,2017-10-30 17:06:31.947559,2017,pré-pandemia
Arlo Ávila,5,positivo,"Este lugar é fascinante! Não é uma simples biblioteca convencional. Além do ótimo acervo de livros clássicos e best-sellers atuais, possui grande quantidade de DVDs, inclusive títulos raros da cultura pop. A BSP também disponibiliza revistas em quadrinhos direcionadas aos públicos infantil e adulto e lançamentos recentes de jogos de tabuleiro de ótima qualidade.",lugar fascinante simples biblioteca convencional além ótimo acervo livros clássicos bestsellers atuais possui grande quantidade dvds inclusive títulos raros cultura pop bsp disponibiliza revistas quadrinhos direcionadas públicos infantil adulto lançamentos recentes jogos tabuleiro ótima qualidade,8 anos atrás,2017-10-30 17:06:31.947565,2017,pré-pandemia
Stefane Nogueira Murici,2,negativo,"Olá, gostaria de saber se cadeirantes tem como acessar o pavimento superior, pois analisei as plantas baixa e não vi rampas nem elevadores.",olá gostaria saber cadeirantes acessar pavimento superior pois analisei plantas baixa vi rampas elevadores,8 anos atrás,2017-10-30 17:06:31.947572,2017,pré-pandemia
Fabio Henrique De Ana,5,positivo,Tem seis estrelas?Excelente lugar para passar bons momentos. Ficaria melhor se a lanchonete estivesse funcionando,seis estrelasexcelente lugar passar bons momentos ficaria melhor lanchonete funcionando,Editado 8 anos atrás,2017-10-30 17:06:31.947578,2017,pré-pandemia
Luis Fernando Wolf,5,positivo,Sensacional!!!,sensacional,8 anos atrás,2017-10-30 17:06:31.947586,2017,pré-pandemia
José Augusto Stuchi,5,positivo,Excelente biblioteca! Boa infraestrutura e acesso à cultura e educação para a população!Excelente iniciativa transformar a área do presídio em um parque bonito e uma biblioteca! Que nosso país continue caminhando rumo ao desenvolvimento.,excelente biblioteca boa infraestrutura acesso cultura educação populaçãoexcelente iniciativa transformar área presídio parque bonito biblioteca país continue caminhando rumo desenvolvimento,8 anos atrás,2017-10-30 17:06:31.947593,2017,pré-pandemia
Luana Motta,5,positivo,Sem comentário,comentário,8 anos atrás,2017-10-30 17:06:31.947599,2017,pré-pandemia
WILL,5,positivo,Ótimo local e ótimos livros! As horas e vc nem percebe...,ótimo local ótimos livros horas vc percebe,8 anos atrás,2017-10-30 17:06:31.947606,2017,pré-pandemia
Victor Reche,2,negativo,O acervo é bem precário e o público não é muito educado. A arquitetura é muito bonita.,acervo bem precário público educado arquitetura bonita,8 anos atrás,2017-10-30 17:06:31.947613,2017,pré-pandemia
Fernando Cunha,3,neutro,Sem comentário,comentário,8 anos atrás,2017-10-30 17:06:31.947621,2017,pré-pandemia
Angëlo Sagnori,4,positivo,"Muito bacana a ideia, o prédio e localização!",bacana ideia prédio localização,8 anos atrás,2017-10-30 17:06:31.947631,2017,pré-pandemia
Edu Sousa,5,positivo,Amazing place. Love to come here and study quietly!,amazing place love to come here and study quietly,9 anos atrás,2016-10-30 17:06:31.947637,2016,pré-pandemia
Gabriel Silveira,5,positivo,Espaço muito agradável para ler ou jogar algum jogo de tabuleiro,espaço agradável ler jogar algum jogo tabuleiro,9 anos atrás,2016-10-30 17:06:31.947644,2016,pré-pandemia
Anna Maravalhas,5,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947651,2016,pré-pandemia
Igor,4,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947657,2016,pré-pandemia
Renan Bomfim,5,positivo,"Vejo mil portas se abrindo para para vários mundos, claro que são paginas de livros.",vejo mil portas abrindo vários mundos claro paginas livros,9 anos atrás,2016-10-30 17:06:31.947664,2016,pré-pandemia
Márcio Rodrigues,5,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947670,2016,pré-pandemia
Cleyton Alves de Siqueira,5,positivo,"Um ótimo lugar não apenas para reunir grupos para trabalhos, mas para estudos, leitura e atividades culturais, com uma excelente estrutura e atendimento dos funcionários.",ótimo lugar apenas reunir grupos trabalhos estudos leitura atividades culturais excelente estrutura atendimento funcionários,9 anos atrás,2016-10-30 17:06:31.947677,2016,pré-pandemia
Nádjima Kuriyama,4,positivo,Otimo local de estudo,otimo local estudo,9 anos atrás,2016-10-30 17:06:31.947684,2016,pré-pandemia
Murillo Bortoleto,4,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947690,2016,pré-pandemia
Matheus Fernandes Martinez,5,positivo,Ótimo lugar,ótimo lugar,9 anos atrás,2016-10-30 17:06:31.947697,2016,pré-pandemia
Hary Haony,5,positivo,"Melhor biblioteca de São Paulo, muito bem localizada e funcionários preocupados em atender cada cliente de forma exclusiva. Conhecimento para todos!",melhor biblioteca paulo bem localizada funcionários preocupados atender cada cliente forma exclusiva conhecimento todos,9 anos atrás,2016-10-30 17:06:31.947703,2016,pré-pandemia
Thomas Haunold,3,neutro,"arquitetura bonita, falta de diversidade de livros...",arquitetura bonita falta diversidade livros,9 anos atrás,2016-10-30 17:06:31.947710,2016,pré-pandemia
Felipe Sato,4,positivo,"São Paulo precisa de mais lugares como esse! Super agradável e democrático, todo mundo pode entrar e usufruir.",paulo precisa lugares super agradável democrático todo mundo pode entrar usufruir,9 anos atrás,2016-10-30 17:06:31.947717,2016,pré-pandemia
Alberto Muniz Da Conceicao,5,positivo,INSCRICAO:bn23341,inscricaobn23341,9 anos atrás,2016-10-30 17:06:31.947724,2016,pré-pandemia
Victor de Morais Vieira,5,positivo,Sem comentário,comentário,9 anos atrás,2016-10-30 17:06:31.947731,2016,pré-pandemia
A&T Transportes Carga Aérea e Rodoviária,5,positivo,ótimo lugar. com uma diversidade de livros que não encontramos em bibliotecas comuns.,ótimo lugar diversidade livros encontramos bibliotecas comuns,9 anos atrás,2016-10-30 17:06:31.947737,2016,pré-pandemia
Shynob 15,5,positivo,Ótimo local,ótimo local,9 anos atrás,2016-10-30 17:06:31.947744,2016,pré-pandemia
